Topic,Count,Name,Representation,Representative_Docs
9,4249,9_location_gps_sensor_accelerometer,"['location', 'gps', 'sensor', 'accelerometer', 'place', 'get', 'service', 'distance', 'latitude', 'google']","['get gps status location changed using gps service derive latitude longitude app able get latitude longitude signal avialable get fix go place gps able get location fix still show last location want get current location otherwise tried using onlocationchanged ongpsstatuschanged get gps status isnt giving result', 'get complete detail current location using gps location manager using gps get longitude latitude location want get every detail location like country city state zip code street number maximum detail current location code', 'android getting location using gps provider return wrong location im implementing app get location open get activity created dont need im testing two real device first try get location using result null use since im testing inside building expected wont able get location using gps provider one device location using null return correct location device location using gps_provider null wrong different city one im currently code im using know location returned gps provider wrong look network provider first null use gps app supposed used outside id like use gps first since accurate thanks']"
10,3774,10_database_sqlite_table_db,"['database', 'sqlite', 'table', 'db', 'query', 'room', 'column', 'cursor', 'data', 'insert']","['using preloaded sqlite database android want use preloaded sqlite database big megabyte copied database asset folder since access asset database directly copying database asset contextgetfilesdir folder using strategy app work well small database megabyte app crash large database want better way something wrong trying already tried solution possible copy android accessing asset folder sqlite database file sqlite extension getting column sqlite containing multiple table multiple column use preloaded sqlite database android asset code sqlitehelper given reference', 'android sqlite database corrupted pulling adb big problem sqlite database android file databasecontrajava databasehelper class inheriting sqliteopenhelper create statement table method im creating table try insert every second one row database used service im using context mainactivity stored static variable im using service use context mainactivity im leaving connection open database close end also use one connection database im getting error message execution im pulling database pc open database sqlitestudio im getting following error message want access table could load data table heart_rate_readings error detail error executing sql query database sensor database disk image malformed could error im completely stuck clue could im using android also defined table user information etc table work enter record every second', 'update android database trying update value sqlite android database using database updated help please']"
11,3713,11_memory_logcat_leak_heap,"['memory', 'logcat', 'leak', 'heap', 'log', 'bitmap', 'mb', 'crash', 'usage', 'jni']","['prevent context related memory leak android investigating apps memory usage android studio realized might memory leak mainly caused opinion please correct wrong progressive increase size grew around mb mb mb reaching almost mb increase memory allocation caused swiping tab going back initial activity straightforward easy might say method locating could link describes process checking analyzing memory file android studio method correctly identified memory leak declaring variable proud unfortunately checking right tab noticed still present therefore still context memory leak occurring regarding time unable identify memory leak havent declared variable obviously depth referring global context activity identify memory leak still occurs behavior described first paragraph normal progressive increase memory allocation time catalogactivity note progressive increase memory allocation happens debug app lg g gb ram using emulated device nexus behavior still occurs way diminished memory allocation start mb reach peak around mb', 'view pager memory leak bitmap volley im using view pager show image downloaded network application number image could im using volley library network operation app wasnt taking much memory adding view pager app take lot memory every time open activity memory used heap increase checked log message also used eclipse memory analyzer check leak definitely bitmap multiple instance activity definitely leak activity isnt getting gced reference keeping getting garbage collected ive added implementation view pager also im using bitmap cache size time number screenbytesscreenwidth screenheight im testing nexus running never run oom exception cause heap size huge device app take mb memoryit crash device open activity used take around mb memory matter here cache code could anyone please suggest catch leak anything wrong view pager volley usage im happy transition pager well lag bit related update here screenshot mat possible leak every activity us volley library ive reading lot couldnt solve problem volley causing leak something terribly wrong', 'clueless possible android memory leak ive facing annoying even making sure bitmap properly scaled etc fact issue doesnt seem related bitmap may wrong testing errorisolation purpose ive switching two activity let call main list using navigation drawer using back button see ddms allocated memory increase around kb every time return ive done memory dump used eclipse mat analyze different point time suspect memory leak cant really find cause according memory dump look like remainder keep increasing user question also lot memory dump answer isnt quite clear leak suspect report made last point time isnt helpful suspect dont seem growing time one report sadly present ive seen instance pointed potential leak suspect memory increase happen transition activity main list used example find nonobvious memory leak ive scratching head long time help tip would great edit bitmap orhanc ive commented instantiation two activity mentioned memory still increase memory dump still show bitmap believe theyre related resource actual bitmap allocated regarding custom font erakitin im using im keeping single instance context using singleton ive tried commenting reference font two activity mentioned memory still increase dont think im leaking digcamara dont hold static reference inside two activity im using context instead except adapter stay screen rotation memory doesnt increase based nickts comment see many instance activity could memory increase result increase number activity back stack memory leak though o dealt apparently use intent flag memory increase different activity instantiated useful matter android killing activity stack memory low']"
12,3560,12_alarm_thread_toast_alarmmanager,"['alarm', 'thread', 'toast', 'alarmmanager', 'asynctask', 'time', 'timer', 'task', 'notification', 'service']","['repeat alarm android using set alarm work one time set repeating alarm interval day api level method working fine', 'androidmultiple alarm different timing fire wrong time four app fire different timing important task alarm alarm alarm alarm pm every alarm fire problem time interval alarm firing random timing code alarm alarm alarm alarm dont know im wrong please take look help thanks note im checking minimum', 'android api remove alarm app allows user set alarm various time currently us alarmmanager plus broadcastreceiver alertdialog alert user alarm going id like see app could make use built alarm clock know schedule alarm like present problem appear way schedule alarm hour future android built alarm allows alarm set work around item could use alarmmanager schedule user alarm set within hr due time however leaf item ideally need way remove apps alarm android alarm clock theyd executed avoid apps alarm taking alarm space cant find away get list alarm remove one possible need stick manual alarmmanageralertdialog approach']"
13,3439,13_video_audio_voice_speech,"['video', 'audio', 'voice', 'speech', 'ffmpeg', 'recording', 'sound', 'recognition', 'record', 'volume']","['check tt already support device android designing app android using tt engine first time tried send text google receive audio google via internet working well next step play tt audio offline mean text application get audio system without connecting internet implemented voice recognition text speech problem working without internet internet available working please help', 'android camera picture black video record sec using camera api help two example find github cameravideo github camerabasic using identical source code like link wont copy source unless require part edit question post edit ran test try play video phone display first frame hear audio voice actually recording video go end video somehow restarts automatically display video however try play video pc copying phone desktop get black screen last frame last frame shown video play hear audio voice tho thinking maybe there issue video encoding decoding issue case video recording wont work see file directory phone play video second video first second black last second like one frame recorded thats yet file size seems big mb screen post video uploaded know wrong someone please help', 'able record audio following code recording audio application error getting please look code getting problem thanks advance']"
14,3430,14_video_play_playing_player,"['video', 'play', 'playing', 'player', 'mediaplayer', 'youtube', 'stream', 'audio', 'music', 'medium']","['youtube webservices different android device fetch video list youtube using web service getting different list video problem getting three different video url every video one use device support multiple resolution multiple player format like flash player normal player playing gpmprtsp got information google youtube api video url code defines format mobile video h embeddable player mobile video mpeg sp check device suitable given video type', 'rtsp live video streaming im building application live stream video raspberry pi android device three functional way playing stream rtspmediasmartstreamingcommytestmpsample_phone_kmp medium player surfaceview videoview intentaction_view problem application play stream doesnt play mine rtspvidmp vlc tried streaming vlc live multiple video format ive also tried playing video recorded phone code help appreciated ive trying week get work success', 'android hybrid html app play mp video created screen recording asus nexus tablet using adb shell command video created device portrait mode detail video found default android video player unable play play device play video custom player like mx player video play device video detail basically want play video webview hybrid html app using browser play video us native android video player could play video thought case would possible install custom player would server default player android embed custom player hybrid html app video play could find way use embedded player hybrid apps']"
15,3329,15_firebase_database_firestore_data,"['firebase', 'database', 'firestore', 'data', 'user', 'crashlytics', 'authentication', 'node', 'auth', 'document']","['setting firebase android app trying integrate firebase android app downloaded file firebase console added also added using google play service version however sync project file gradle get following error change version comgoogleandroidgms sync successfully however run app get following error dependency anyone guide use firebase along google play service version', 'cant retrieve data firebase node im developing android app im using firebase database want get specific node im failing retrieve data ive written firebase security rule data structure android code location class', 'find firebase reference url firebase account third last line code find firebase url able find anyone provide best link setup firebase facebook login android']"
16,3172,16_spinner_checkbox_date_picker,"['spinner', 'checkbox', 'date', 'picker', 'datepicker', 'radio', 'selected', 'item', 'value', 'checked']","['android spinner showing text selected create spinner adapter data json spinner showing text show selected value somebody help please spinner load json spinner screen shot run', 'android custom spinner data database im making custom spinner show two data inside item spinner code implementation spinner however dont seem get data value im able get data get one row using simple spinner item im trying get two value decided create custom spinner adapter unfortunately working data database spinneradapter spinner custom_spinnerxml db method query', 'spinner working android spinner working code']"
17,3071,17_test_dagger_robolectric_espresso,"['test', 'dagger', 'robolectric', 'espresso', 'inject', 'unit', 'module', 'class', 'junit', 'coverage']","['android unit testing run test project application android lunarlander sample project unit test included right project nonsource folder called test line sdk testing guide recommends layout opposed creating test separate project however idea actually run test cant create android junit test run configuration try run test project package complains manifest file doesnt contain instrumentation info clearly using toplevel manifest file instead test manifest file try run single test cant find test isnt source folder set source folder error pop since assumes test class package starting testssrc starting seem sample broken hope wrong since id rather embed test project able run easily instead creating separate test project link project application test anybody know run test thanks', 'robolectric application singleton setup causing issue test currently inherited android application zero code coverage first job get unit test written decided also use opportunity learn robolectric however hitting initial issue getting two simple dummy test run code test file problem activity extends another class called baseactivity class custom application class used custom application class picasso created singleton using following code run test get following error javalangillegalstateexception singleton instance already exists comsquareuppicassopicassosetsingletoninstancepicassojava look like application class getting created twice test one test run fine assuming pattern testing wrong anyone help correct pattern unit test want test limited functionality sure correct edit tried setup mock application class get robolectric use still seems use real application class testjava following class see extends myapplication class main app also added override initpicasso method try stop getting called however run test still get error picasso singleton set second time second test run test class still go application class main app robolectric unit test limited scope also tried try run test class get error saying cant find testmyapplication tearing hair issue robolectric wont use mocked application class', 'error still android studio say test found trying write instrumentation test mainactivity followed answer given still android studio find test class applicationtestjava androidtest folder here content class wrong test class test dont get error find test run run applicationtest output end following line here buildgradle file app here output test run made change publish anybody interested result running instrumentation test class read follows running test test running started test running failed test result empty test suite nobody experience kind test']"
18,2804,18_color_theme_shadow_ripple,"['color', 'theme', 'shadow', 'ripple', 'style', 'effect', 'background', 'change', 'bar', 'gradient']","['set background color button without removing ripple effect would like change background color button without removing ripple effectshadowhover effect also would like solution reimplement ripple effect described question also work least kitkat here list thing ive tried work change background color button remove ripple effect shadow visual aesthetic standard android material button work kitkat api work defined xml settextappearance dynamically change theme possible dynamically set button background color like', 'change context menu item color im trouble changing color item context menu bar white bar appears like activity extends appcompatactivity im using toolbar theme stylexml look like switch context menu using following code item color change white black ive also tried changing theme change actionbar color white also change dialog menu popup background text color dont want problem context menu status bar color change black set status bar color context menu enabled way change text color status bar color', 'change android button ripple color preserving style property want inherit style default material design style preserve background color shadow appear pressing button called elevation thing want change color ripple effect touch button move finger around use following style drawablebtn_material button loses background color elevation shadow way tell button keep default color shadow inherited parent replace ripple color one given essentially id like achieve something like property would change ripple leaving everything else intact']"
19,2782,19_layout_text_textview_view,"['layout', 'text', 'textview', 'view', 'width', 'height', 'constraintlayout', 'xml', 'constraint', 'imageview']","['imageview height match width imageview want width fill_parent want height whatever width end example something like possible layout file without create view class thanks', 'dynamically added textview zero width height programatically created relativelayout shown code relativelayout width height edittext lie edittext add programatically created textview certain width height first time textview added view shown specified width height remove textview relativelayout add new textview textview shown zero width height though im setting width height could possibly problem textview edit textviews onmeasure method never getting called', 'android center textview horizontally linearlayout following basic layout seems like xml correct text aligned left textview take entire width parent textview set centered sure problem']"
20,2690,20_kotlin_viewmodel_class_livedata,"['kotlin', 'viewmodel', 'class', 'livedata', 'context', 'presenter', 'method', 'variable', 'static', 'java']","['get weird method name calling kotlin object java kotlin class converted object call java method name appended app mean kotlin java', 'difference class object kotlin im new kotlin recently converted simple file java kotlin wondering android converter changed java class kotlin object java converted kotlin wasnt help would greatly appreciated thanks', 'interface function kotlin working android library contains view naturally view emit event interface called purpose question wrote library java thing would look like using view kotlin activity use like want write library kotlin might used java code well want provide interface listener like regular view like option kotlin code use function implementation try use like kotlin test activity get compilation error saying function expects type got way enable kind implementation kotlin without create new function thought one function receives look weird java code etc thanks']"
21,2456,21_download_drive_upload_file,"['download', 'drive', 'upload', 'file', 'server', 'image', 'google', 'dropbox', 'downloading', 'uploading']","['download google drive file android wanted download file google drive implemented google drive sdk used following method also tried using output stream able save data file tried searching around couldnt find useful link guide download store file', 'get file id perform download file google drive api android working android project trying make use google drive api ive got working issue perform download cant find anywhere get file id perform download order test ive retrieved file drive account added list array got id first file list copied file id command download file worked successfully idea get file id specific file want download code using download file file id file download retrieved list selected first file say want download file_ get id pas servicegetexecute function basically end goal within app upload xml file google drive later download file one file always name going right away better way achieve trying', 'upload file google drive possible retrofit upload file google drive account currently using code upload file google drive method using retrofit upload file help greatly appreciated helpful']"
22,2405,22_emulator_avd_adb_genymotion,"['emulator', 'avd', 'adb', 'genymotion', 'device', 'usb', 'driver', 'eclipse', 'studio', 'window']","['android emulator doesnt load appcrash report problem running app emulator error warning code running perfect device come emulator always crash error message would like tried following thing run configuration target wipe user data run uninstalling app run restarting emulator adb killserver adb startserver creating new emulator running app restarting adb restarting eclipse starting eclipse emulator launched completely increasing adb connection timeout restarting system deleted emulator created new emulator run completely loaded dont know else sometimes run new emulator app run first time run sometime crash report able understand problem anyone please suggest problem emulator used work well problem started day back help appreciated thanks', 'nexus visible usb via adb device window x done obvious usb driver installed latest android sdk usb debugging turned tablet nexus connected device show window device manager android phone android composite adb device property showing driver version correct driver installed working also prof device usb debugging mode show window portable device nexus problem show device eclipse also surprisingly also offer nexus hardware device run app rebooted device without effect debugging figure enable tell nothing wrong', 'emulator awfully slow window rant also duplicate forever android emulator slow problem week maybe month ago emulating android device win bit system least acceptable x emulation decently fast usable however trying create fast new emulator instance using latest version sdk platform tool etc source frustration pain several day im trying understand issue side people actually use latest version android emulator included latest sdk window pc config win x intel core quad ghz gb ram plenty hdd space dedicated gpu happens trying start emulator api level either x x_ version emulator start android logo appears glow bit thats never reach home screen emulator log show absolutely error trying connect using adb freeze android studio kill emulator process version like version case cant even kill qemusystemi process yes even full admin right actually restart window process remains zombie using gb ram version im lucky sometimes reach home screen becomes completely unusable sometimes click thing maybe click becomes completely unresponsive occasional launcher stopped system stopped message appear randomly emulator home screen ive installed latest intel haxm version one downloaded android sdk manager virtualization enabled bios ive tried kind emulator option le ram hardware v software gpu x x_ almost result every time ive completely deleted reinstalled entire android sdk android studio cpu issue load emulator run free ram issue fully used emulator run hdd issue even defragmented looking like sort load emulator running question simple anyone using window actually start let say marshmallow x emulator simple click process actually reach home screen new faster emulator actually need sort superpowerful machine dont seem posse anymore thing apparently changed haxm driver stating initialized fine dont know oh virtualbox run fine genymotion contrast fly id like official android emulator working state asking much']"
23,2361,23_webview_html_page_javascript,"['webview', 'html', 'page', 'javascript', 'load', 'url', 'web', 'browser', 'webpage', 'loading']","['opening camera android webview im trying open android native camera html page loaded android webview using html input type file tag idea camera opening dont know ive tried page iphone webview working', 'javascript alert message working android application created android application simple webview function html page webview load using following script open android webview application show alert message work fine open normal browser', 'open url webview android open link webview running browser run webview android please give solution']"
24,2348,24_facebook_login_twitter_sdk,"['facebook', 'login', 'twitter', 'sdk', 'hash', 'instagram', 'app', 'share', 'user', 'key']","['facebook login callback called android app trying create app facebook twitter login want login button fragment completely independent activity used trying put handler custom button fragment click start facebook login activity click ok facebook login activity facebook activity close never called code snippet please tell going wrong using loginbutton xml creating button error logcat new android programming detailed explanation would great help thanks', 'getting android_key_not_configured facebook error trying enable facebook login android app linked facebook app application press login get facebook error android_key_not_configured body seen', 'login failed cant use facebook log app get login failed error facebook android sdk running device done everything specified like creating hash error login failed cant use facebook log app website there issue implementation facebook login']"
25,2249,25_retrofit_request_rxjava_response,"['retrofit', 'request', 'rxjava', 'response', 'volley', 'observable', 'json', 'call', 'object', 'cache']","['retrofit post body json updating retrofit use retrofit already managed lot thing get post put request send whole json managed retrofit retrofit support make retrofit', 'retrofit callback get response body testing retrofit compare volley struggling get response request example something like work object set testing purpose also want display json response returned server trying read unfortunately always get tried use utils class retrofit get error', 'get namevaluepairs json request using retrofit post post request like original request volley successfully post request using retrofit request changed get log getting bad request server side api interface retrofit apiclient mainactivity code note also tried using parameter added automatically use gson request convert serialize dont want change server side cause work fine using volley want use retrofit using request']"
26,2193,26_preference_sharedpreferences_shared_value,"['preference', 'sharedpreferences', 'shared', 'value', 'preferenceactivity', 'preferencefragment', 'save', 'activity', 'setting', 'preferencescreen']","['android preference change diplayed preference preferenceactivity two preference xml file first one prefxml contains preference one prefxml contains preference preference activity trying change actually get right output everything displayed correctly want change displayed preference concerning one preference therefore implemented onsharedpreferencechangelistener preference activity well pref preference displayed correctly output size sharedpreferences indicated background still old preference applied iterate listadapter get also old preference idea could solve found listadapter outdated get count item via getpreferencescreengetpreferencecount get right amount access preference', 'access widget set layout using preference activity creating preference activity adding custom preference screen using layout want update value dynamically here code layout more_appsxml want update textview image run time access preference activity please help', 'android add checkbox preference dynamically display preference screen sharedpreferences want implement functionality user able select group item displayed using checkbox shared preference precise read checked item preference display preference class understand add preference dynamically display preference screen main activity class']"
27,2058,27_map_marker_google_route,"['map', 'marker', 'google', 'route', 'api', 'mapview', 'direction', 'tile', 'cluster', 'location']","['save marker android google map v using android google map v api set add marker long click need way save marker reload app resume best way please help currently add marker follows', 'google map apiv authentication failure error google console manifest layout map control ive imported google play service project marked google api console service list google map api v google map api v google map android api v however seems map fragment still able authenticate map fragment blank grey square middle screen idea happening', 'fetch center point scroll map google map v android hi iam app app map page implemented google map v issue scroll map want get center point map scroll map leave get center point map one suggest solve issue may helpful thank advance note used google map v please post related']"
28,1959,28_sm_email_send_message,"['sm', 'email', 'send', 'message', 'gmail', 'mail', 'share', 'sending', 'mm', 'sent']","['android sm manager sending sm new android want send sm click send button first used sm manager api set send_sms permission android_manifestxml got zero error sm sending know answer please let know thanks reading', 'send sm message using non default sm app android send sm using default sm app android kitkat mean send sm without ability write sm provider confused android kitkat wonder send sm using non default sm app', 'kitkat management sm im developing application work like sm blacklist whitelist sm application right goal number blacklist prevents user receiving sending sm appear sm application number whitelist user everything want special case message blocked stored database send hour sum app need able block sm app deal like popup sm app send sm far component work fine android pre kitkat idea deal broadcast received sm observer sm send way kitkat sm handling mainly different know kind need default sm app send message question really need default sm app send observe message implement kind basic sm app another way send sm smsmanager example httpandroiddevelopersblogspotfrgettingyoursmsappsreadyforkitkathtml']"
29,1900,29_permission_app_granted_manifest,"['permission', 'app', 'granted', 'manifest', 'user', 'application', 'shell', 'system', 'adb', 'command']","['androidpermissionpackage_usage_stats permission android permission work api android second thing grant permission take permission user yes sdk level need ask getting proper documentation', 'get permission detail programmatically anyway android sdk provide information specific permission like google play whenever click permission able read permission function return specific permission application code im getting permission name im wondering api return permission detail', 'take read_phone_state permission android got error code work permission permission']"
